City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
228,lihue,21.9789,-159.3672,22.77,79,75,5.14,US,1715247718
229,lamu,-2.2717,40.902,27.77,80,89,7.88,KE,1715247848
230,bovalino superiore,38.1833,16.1667,16.84,83,100,3.51,IT,1715247849
231,gadzhiyevo,69.2551,33.3362,-0.48,74,97,4.62,RU,1715247728
232,macusani,-14.0833,-70.4333,0.41,93,7,0.87,PE,1715247849
233,zeya,53.75,127.2667,11.38,28,74,3.4,RU,1715247849
234,yeppoon,-23.1333,150.7333,20.7,77,96,9.04,AU,1715247849
235,sinop,41.7711,34.8709,13.24,46,92,2.76,TR,1715247849
236,velur,12.9333,79.1333,38.38,28,100,3.99,IN,1715247850
237,ushuaia,-54.8,-68.3,-3.19,93,40,2.06,AR,1715247713
238,saudarkrokur,65.7461,-19.6394,5.13,57,54,4.68,IS,1715247850
239,petropavlovsk-kamchatsky,53.0452,158.6483,7.47,67,20,7.15,RU,1715247716
240,chibougamau,49.9168,-74.3659,3.79,70,100,2.06,CA,1715247734
241,zittau,50.9,14.8333,18.69,48,9,0.89,DE,1715247850
242,nova sintra,14.8667,-24.7167,24.17,76,55,9.73,CV,1715247850
243,knyaze-volkonskoye,48.4642,135.4567,15.19,24,13,5.36,RU,1715247851
244,rancho palos verdes,33.7445,-118.387,16.39,91,0,2.24,US,1715247851
245,swift current,50.2834,-107.8014,8.45,87,0,4.63,CA,1715247815
246,tazovsky,67.4667,78.7,-4.59,87,34,3.27,RU,1715247711
247,sittwe,20.15,92.9,30.14,59,2,6.93,MM,1715247851
248,fale old settlement,-9.3852,-171.2468,29.2,73,92,1.59,TK,1715247851
249,tual,-5.6667,132.75,28.57,76,85,6.61,ID,1715247852
250,hami,42.8,93.45,26.86,18,74,0.11,CN,1715247852
251,murgab,37.4966,61.9714,18.93,82,100,0.0,TM,1715247852
252,bugul'ma,54.55,52.8,3.85,56,100,5.18,RU,1715247852
253,alaghsas,17.0187,8.0168,39.94,8,66,6.69,NE,1715247852
254,panuco,22.05,-98.1667,26.34,87,62,2.02,MX,1715247852
255,chaman,30.9236,66.4512,33.14,14,13,6.11,PK,1715247853
256,zanjan,36.6736,48.4787,8.83,76,40,3.09,IR,1715247853
257,bamboo flat,11.7,92.7167,32.05,70,40,3.09,IN,1715247741
258,vega de alatorre,20.0333,-96.6333,29.89,54,79,6.98,MX,1715247853
259,altpinar,39.2042,32.7478,20.89,30,100,4.55,TR,1715247853
260,kapuskasing,49.4169,-82.4331,4.05,75,75,4.12,CA,1715247720
261,shevchenko,48.5,35.0,15.11,40,100,4.02,UA,1715247854
262,tomatlan,19.9333,-105.25,18.44,96,0,1.48,MX,1715247854
263,sarakhs,36.5449,61.1577,15.81,80,100,8.78,IR,1715247854
264,pasuruan,-7.6453,112.9075,30.94,82,76,2.37,ID,1715247854
265,ushibukamachi,32.1906,130.0228,16.48,65,0,6.79,JP,1715247854
266,igarka,67.4667,86.5833,-0.55,99,100,5.81,RU,1715247855
267,yung shue wan,22.2333,114.1167,27.68,81,100,10.26,HK,1715247855
268,ulcinj,41.9294,19.2244,21.12,60,96,2.92,ME,1715247855
